Isolate.ID,Rep,Day,Media,Temp,Count
F4-0085,A,0,BHI,6,760
F4-0085,B,0,BHI,6,1580
F4-0085,C,0,BHI,6,2960
F4-0126,A,0,BHI,6,999
F4-0126,B,0,BHI,6,1100
F4-0126,C,0,BHI,6,220
F4-0134,A,0,BHI,6,4920
F4-0134,B,0,BHI,6,4180
F4-0134,C,0,BHI,6,1200
F4-0152,A,0,BHI,6,320
F4-0152,B,0,BHI,6,180
F4-0152,C,0,BHI,6,260
F4-0242,A,0,BHI,6,300
F4-0242,B,0,BHI,6,20
F4-0242,C,0,BHI,6,200
H3-0280,A,0,BHI,6,0
H3-0280,B,0,BHI,6,40
H3-0280,C,0,BHI,6,460
H3-0287,A,0,BHI,6,200
H3-0287,B,0,BHI,6,40
H3-0287,C,0,BHI,6,60
H3-0464,A,0,BHI,6,40
H3-0464,B,0,BHI,6,380
H3-0464,C,0,BHI,6,1020
H3-0465,A,0,BHI,6,20
H3-0465,B,0,BHI,6,40
H3-0465,C,0,BHI,6,20
H7-0433,A,0,BHI,6,160
H7-0433,B,0,BHI,6,240
H7-0433,C,0,BHI,6,120
H7-0443,A,0,BHI,6,0
H7-0443,B,0,BHI,6,0
H7-0443,C,0,BHI,6,0
H7-0604,A,0,BHI,6,184
H7-0604,B,0,BHI,6,164
H7-0604,C,0,BHI,6,674
H7-0694,A,0,BHI,6,81.8
H7-0694,B,0,BHI,6,20.4
H7-0694,C,0,BHI,6,0
H7-0710,A,0,BHI,6,327
H7-0710,B,0,BHI,6,25600
H7-0710,C,0,BHI,6,20.4
H7-0713,A,0,BHI,6,40.9
H7-0713,B,0,BHI,6,0
H7-0713,C,0,BHI,6,0
H7-0718,A,0,BHI,6,60
H7-0718,B,0,BHI,6,0
H7-0718,C,0,BHI,6,260
H7-0918,A,0,BHI,6,80
H7-0918,B,0,BHI,6,84
H7-0918,C,0,BHI,6,120
H8-0069,A,0,BHI,6,20
H8-0069,B,0,BHI,6,0
H8-0069,C,0,BHI,6,20
H8-0147,A,0,BHI,6,180
H8-0147,B,0,BHI,6,40
H8-0147,C,0,BHI,6,140
H8-0175,A,0,BHI,6,2080
H8-0175,B,0,BHI,6,18500
H8-0175,C,0,BHI,6,2660
H8-0237,A,0,BHI,6,919
H8-0237,B,0,BHI,6,5020
H8-0237,C,0,BHI,6,6630
J3-0153,A,0,BHI,6,1260
J3-0153,B,0,BHI,6,1360
J3-0153,C,0,BHI,6,1160
J3-0155,A,0,BHI,6,353000
J3-0155,B,0,BHI,6,225000
J3-0155,C,0,BHI,6,360
J3-0159,A,0,BHI,6,2960
J3-0159,B,0,BHI,6,2380
J3-0159,C,0,BHI,6,80
R5-0636,A,0,BHI,6,320
R5-0636,B,0,BHI,6,600
R5-0636,C,0,BHI,6,380
R5-0883,A,0,BHI,6,240
R5-0883,B,0,BHI,6,40
R5-0883,C,0,BHI,6,340
R5-0923,A,0,BHI,6,40
R5-0923,B,0,BHI,6,120
R5-0923,C,0,BHI,6,99.9
R5-0937,A,0,BHI,6,200
R5-0937,B,0,BHI,6,20
R5-0937,C,0,BHI,6,40
F4-0085,A,0,SMB,6,600
F4-0085,B,0,SMB,6,1640
F4-0085,C,0,SMB,6,3080
F4-0126,A,0,SMB,6,1200
F4-0126,B,0,SMB,6,959
F4-0126,C,0,SMB,6,600
F4-0134,A,0,SMB,6,3520
F4-0134,B,0,SMB,6,3760
F4-0134,C,0,SMB,6,1060
F4-0152,A,0,SMB,6,480
F4-0152,B,0,SMB,6,80
F4-0152,C,0,SMB,6,60
F4-0242,A,0,SMB,6,20
F4-0242,B,0,SMB,6,200
F4-0242,C,0,SMB,6,600
H3-0280,A,0,SMB,6,0
H3-0280,B,0,SMB,6,0
H3-0280,C,0,SMB,6,20
H3-0287,A,0,SMB,6,20
H3-0287,B,0,SMB,6,80
H3-0287,C,0,SMB,6,140
H3-0464,A,0,SMB,6,40
H3-0464,B,0,SMB,6,60
H3-0464,C,0,SMB,6,20
H3-0465,A,0,SMB,6,40
H3-0465,B,0,SMB,6,60
H3-0465,C,0,SMB,6,240
H7-0433,A,0,SMB,6,20
H7-0433,B,0,SMB,6,500
H7-0433,C,0,SMB,6,7870
H7-0443,A,0,SMB,6,40
H7-0443,B,0,SMB,6,0
H7-0443,C,0,SMB,6,0
H7-0604,A,0,SMB,6,123
H7-0604,B,0,SMB,6,102
H7-0604,C,0,SMB,6,0
H7-0694,A,0,SMB,6,143
H7-0694,B,0,SMB,6,61.3
H7-0694,C,0,SMB,6,0
H7-0710,A,0,SMB,6,164
H7-0710,B,0,SMB,6,17100
H7-0710,C,0,SMB,6,61.3
H7-0713,A,0,SMB,6,20.4
H7-0713,B,0,SMB,6,61.3
H7-0713,C,0,SMB,6,0
